5 15.29 9.31 14.33 6.986434
10 17.91 10.91 11.14 7.091304
20 19.46 11.85 8.25 7.208251
40 20.38 12.42 6.10 7.309910
80 20.52 12.50 4.52 7.397644
160 20.00 12.19 3.27 7.465513
